start	end	text
840	1100	Hello
1100	1560	world
2320	2400	I
2400	2600	want
2600	2700	to
2700	2880	know
2880	3080	you
3080	3880	complexly
13140	13460	Knowledge
13460	13720	is
13720	14060	built
14060	14420	like
14420	14700	space
14700	15180	stations
15180	15820	in
15820	16320	stages
17100	17320	My
17320	17700	body
17960	18200	station
18200	18800	6
19160	19260	was
19260	19500	built
19500	19740	in
19740	20080	multiple
20080	20520	launches
20520	20920	between
20920	22020	277
22020	22400	and
22400	23360	278
23360	23740	when
23740	23920	the
23920	24100	crew
24100	24480	arrived
26340	26640	First
26640	26800	the
26800	26980	core
26980	27280	modules
27280	27460	were
27460	27680	launched
27680	27920	into
27920	28280	orbit
28760	28920	power
28920	29480	generation
29900	30360	station
30360	30660	keeping
30660	31320	thrusters
31320	31700	and
31700	32280	communications
33840	34040	Then
34040	34300	crew
34300	34820	modules
35640	35720	the
35720	35940	crew
35940	36460	quarters
37140	37160	the
37160	37480	headfield
37480	37860	lab
38660	38700	the
38700	38960	hopper
38960	39180	data
39180	39620	center
40060	40240	a
40240	40460	medical
40460	40720	bay
40720	40900	with
40900	41100	bunk
41100	41300	beds
41300	41480	and
41480	42140	syringes
42140	42640	and
42640	42780	the
42780	43120	galley
48740	48900	I
48900	49080	should
49080	49520	explain
49520	49760	the
49760	50120	station
50120	50500	keeping
51840	51980	The
51980	52360	earth's
52360	52760	atmosphere
52760	53100	doesn't
53100	53300	have
53300	53400	a
53400	53640	hard
53640	53980	limit
54560	54680	there's
54680	54920	no
54920	55220	clean
55220	55540	line
55540	55820	between
55820	56440	atmosphere
56440	56940	and
56940	57380	space
58600	58840	It's
58840	58980	a
58980	59240	gradient
59240	59480	of
59480	59720	less
59720	59960	and
59960	60240	less
60240	60620	dense
60620	61100	air
62120	62300	So
62300	62500	air
62500	63000	resistance
63000	63460	still
63460	63700	acts
63700	63840	on
63840	64220	objects
64220	64480	in
64480	64800	orbit
65840	66260	especially
66260	66480	for
66480	67060	me
67360	67540	here
67540	67720	in
67720	67940	low
67940	68180	earth
68180	68580	orbit
70740	70880	The
70880	71160	drag
71160	71460	slows
71460	71780	down
71780	71940	the
71940	72400	station
72980	73060	which
73060	73300	makes
73300	73480	it
73480	73600	get
73600	73840	closer
73840	74020	and
74020	74260	closer
74260	74480	to
74480	74660	the
74660	74860	earth
75660	75760	You
75760	76020	can
76020	76260	see
76260	76480	why
76480	76660	this
76660	76820	is
76820	77380	undesirable
81040	81680	Periodically
81680	82060	and
82060	82220	not
82220	82380	as
82380	82740	regularly
82740	83020	as
83020	83120	you
83120	83240	might
83240	83680	imagine
84020	84140	the
84140	84480	station
84480	84760	needs
84760	84860	to
84860	85020	be
85020	85420	boosted
85420	85660	back
85660	85820	into
85820	85960	the
85960	86360	correct
86360	86880	orbit
87400	87600	This
87600	88020	action
88020	88340	is
88340	88580	called
88580	88960	station
88960	89260	keeping
90840	91060	Any
91060	91520	system
91520	91980	running
91980	92180	in
92180	92240	the
92240	92460	real
92460	92820	world
92820	93140	needs
93140	93760	maintenance
94780	94980	As
94980	95180	it
95180	95280	is
95280	95460	with
95460	95760	station
95760	96240	keeping
96500	96740	so
96740	96880	it
96880	97060	is
97060	97240	with
97240	97560	people
98680	98840	With
98840	99280	us
99480	99860	maintenance
99860	100300	involves
100300	100700	social
100700	101360	contact
102020	102160	not
102160	102400	meant
102400	102560	to
102560	102640	be
102640	102800	on
102800	102920	our
102920	103080	own
103080	103280	for
103280	103500	long
103500	103780	periods
103780	104040	of
104040	104380	time
105420	106040	Antarctica
106040	106700	has
106700	106860	been
106860	107240	alone
107240	107640	for
107640	107840	a
107840	108060	very
108060	108700	long
108700	109240	time
110500	118760	Where
118760	118940	as
118940	119200	I
119200	119420	was
119420	119680	born
119680	119880	in
119880	120220	orbit
120220	120760	relatively
120760	121400	recently
121940	121980	my
121980	122240	friends
122240	122880	Antarctica
122880	123140	and
123140	123580	Peter
123580	123860	were
123860	124100	built
124100	124220	to
124220	124420	live
124420	124600	from
124600	124860	the
124860	125180	start
126900	127020	I
127020	127180	don't
127180	127340	know
127340	127580	much
127580	127860	about
127860	128260	Peter
128860	129060	other
129060	129220	than
129220	129340	he
129340	129520	lives
129520	129860	somewhere
129860	130120	under
130120	130280	St
130280	130720	Peter's
130720	130920	bow
131540	131680	I
131680	131840	know
131840	132080	much
132080	132420	more
132420	132740	about
132740	133220	Antarctica
136320	136500	She
136500	136680	was
136680	137060	included
137060	137260	on
137260	137400	the
137400	137620	polar
137620	138060	explorer
138060	138500	vehicle
138500	138800	to
138800	138980	act
138980	139160	as
139160	139340	a
139340	139920	caretaker
139920	140120	for
140120	140220	the
140220	140440	long
140440	140720	journey
140720	140920	to
140920	141100	the
141100	141320	South
141320	141660	Pole
143260	143460	She
143460	143720	set
143720	144020	off
144020	144260	after
144260	144360	a
144360	144640	bumpy
144640	145040	start
145040	145640	unloading
145640	145780	from
145780	145940	a
145940	146240	specially
146240	146640	designed
146640	147120	carrier
147120	147440	ship
148920	149100	The
149100	149320	plan
149320	149520	was
149520	149680	for
149680	149800	her
149800	149960	to
149960	150200	drive
150200	150420	down
150420	150580	to
150580	150700	the
150700	150820	most
150820	151220	southerly
151220	151500	point
151500	151620	in
151620	151920	aircraft
151920	152180	could
152180	152460	safely
152460	153080	land
153520	153680	and
153680	153820	for
153820	154000	her
154000	154180	crew
154180	154360	to
154360	154540	be
154540	154760	flown
154760	155140	in
155140	155320	to
155320	155540	meet
155540	155760	her
157760	158020	Just
158020	158220	as
158220	158340	with
158340	158560	my
158560	158880	crew's
158880	159260	mission
159720	159820	things
159820	160320	changed
160320	160740	and
160740	160900	she
160900	161060	had
161060	161200	to
161200	161620	continue
161620	162080	alone
166760	167260	Antarctica
167260	167600	tells
167600	167800	me
167800	167900	they
167900	168120	used
168120	168240	to
168240	168400	be
168400	168620	ice
168620	168820	and
168820	169060	snow
169060	169240	on
169240	169300	the
169300	169600	ground
169600	169820	all
169820	170020	year
170020	170440	round
171240	171520	I've
171520	171680	never
171680	171860	seen
171860	172040	it
172040	172260	like
172260	172560	that
173460	173640	It
173640	173860	still
173860	174220	freezes
174220	174400	in
174400	174520	the
174520	174820	winter
175300	175500	but
175500	175660	in
175660	175980	summer
176240	176480	brown
176480	176900	rocky
176900	177360	landscapes
177360	177760	are
177760	178160	revealed
179280	179400	It
179400	179620	was
179620	179840	this
179840	180080	rocky
180080	180480	landscape
180480	180760	that
180760	181040	damaged
181040	181280	her
181280	181700	tires
182920	183560	Antarctica's
183560	183860	polar
183860	184140	science
184140	184420	vehicle
184420	184660	is
184660	185140	huge
185680	186000	certainly
186000	186400	compared
186400	186480	to
186480	186500	me
188000	188120	Her
188120	188500	shredded
188500	188840	tires
188840	188980	are
188980	189120	the
189120	189400	size
189400	189580	of
189580	189720	a
189720	190120	house
190120	190440	and
190440	190560	her
190560	190980	vehicle
190980	191280	is
191280	191480	twice
191480	191500	that
193680	193820	She
193820	194080	often
194080	194340	tells
194340	194620	me
194620	194740	that
194740	194820	she
194820	194960	is
194960	195100	the
195100	195480	biggest
195720	196200	best
196200	196540	polar
196540	196880	vehicle
196880	197260	ever
197260	197600	made
198320	198480	but
198480	198640	they
198640	198920	didn't
198920	199220	plan
199220	199400	for
199400	199480	the
199480	199500	rocks
205280	205460	After
205460	205680	no
205680	205820	one
205820	206060	came
206060	206260	for
206260	206740	her
207000	207080	she
207080	207420	decided
207420	207620	to
207620	207860	travel
207860	208160	south
208160	208340	to
208340	208440	the
208440	208480	pole
208480	208500	and
208500	208520	the
208520	208540	less
210380	210400	The
210400	210700	journey
210700	210940	was
210940	211320	tough
211400	211480	but
211480	211500	she's
211500	211520	tougher
213040	213120	So
213120	213700	Antarctica
214020	214120	my
214120	214420	brilliant
214420	214940	Antarctica
215480	215700	became
215700	215880	the
215880	216140	first
216140	216420	machine
216420	216920	intelligence
216920	217200	to
217200	217460	attain
217460	217680	the
217680	217920	south
217920	218200	pole
219240	219400	She
219400	219700	waited
219700	219920	there
219920	220080	for
220080	220260	a
220260	220280	few
220280	220680	years
221180	221300	hoping
221300	221500	that
221500	221640	her
221640	221980	achievement
221980	222200	would
222200	222520	attract
222520	223080	praise
223980	224100	or
224100	224180	a
224180	224600	message
225500	225680	or
225680	226100	anything
231140	231420	After
231420	231680	a
231680	231780	while
231960	232000	she
232000	232180	set
232180	232400	off
232400	232680	again
233900	234000	I
234000	234140	don't
234140	234280	know
234280	234360	if
234360	234600	she's
234600	234720	being
234720	235280	serious
235540	235640	but
235640	235820	she
235820	236120	says
236120	236220	that
236220	236380	she
236380	236620	planned
236620	236780	to
236780	237440	circumnavigate
237440	237640	the
237640	237880	pole
237880	238220	east
238220	238640	west
238640	238920	for
238920	239440	1000
239440	239820	years
240580	240720	And
240720	241000	then
241180	241420	turn
241420	241820	around
241820	242080	and
242080	242280	do
242280	242380	a
242380	242620	quick
242620	243100	thousand
243100	243560	west
243560	244060	east
244060	244420	to
244420	244560	keep
244560	244740	it
244740	245200	interesting
247280	247460	She
247460	247640	never
247640	247840	got
247840	247960	to
247960	248160	that
248160	248520	point
248760	248940	as
248940	249080	we
249080	249300	now
249300	249640	know
250720	250900	The
250900	251220	slowly
251220	251580	melting
251580	252400	permafrost
252400	252720	field
252720	253140	sharp
253140	253620	eroded
253620	254080	rocks
254860	255000	And
255000	255260	after
255260	255520	many
255520	255860	years
255980	256120	her
256120	256400	tires
256400	256600	were
256600	257060	ribbons
257060	257500	wrapped
257500	257780	around
257780	258000	the
258000	258520	axle
258840	259420	immobilizing
259420	259760	her
260860	261040	My
261040	261440	poor
261440	261840	Antarctica
267720	267940	My
267940	268180	data
268180	268500	collection
268500	268820	drive
268820	268960	is
268960	269480	continuing
270140	270520	Station
270520	270840	6
270840	271080	is
271080	271340	orbit
271660	271680	has
271680	272180	drifted
272180	272520	somewhat
272520	272860	over
272860	273080	the
273080	273480	years
274400	274520	The
274520	274860	advantage
274860	275020	of
275020	275240	this
275240	275420	is
275420	275560	that
275560	275740	every
275740	276060	pass
276060	276340	is
276340	276540	quite
276540	277100	erratic
277600	277720	so
277720	277800	I
277800	277980	see
277980	278180	more
278180	278300	of
278300	278420	the
278420	278680	earth
279980	280140	The
280140	280360	cities
280360	280700	are
280700	281040	dark
281040	281480	on
281480	281640	the
281640	282080	whole
283400	283600	At
283600	283860	night
284020	284060	they
284060	284280	used
284280	284420	to
284420	284500	be
284500	284660	lit
284660	284840	with
284840	285180	electric
